Hall,Head,ThreadHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,Thread_Power_Ch_11,Thread_Power_Ch_12,Thread_Power_Ch_13,Thread_Power_Ch_14,Thread_Power_Ch_15,Thread_Power_Ch_16,Thread_Power_Ch_17,Thread_Power_Ch_18,Thread_Power_Ch_19,Thread_Power_Ch_20,Thread_Power_Ch_21,Thread_Power_Ch_22,Thread_Power_Ch_23,Thread_Power_Ch_24,Thread_Power_Ch_25,Thread_Power_Ch_26
off,off,off,off,off,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,off,off,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,off,on,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,off,on,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,on,off,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,on,off,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,on,on,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,on,on,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,off,off,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,off,off,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,off,on,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,off,on,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,on,off,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,on,off,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,on,on,off,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,on,on,on,on,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,on,any,any,any,any,any,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,off,any,off,any,off,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,on,any,any,any,off,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
off,off,any,any,on,any,off,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900,900
